code~omschrijving~groepcode~groep~orde
hVb~Koopveengronden op bosveen (of eutroofbroekveen)~hV~koopveengronden~Veengronden
Ro60C~Kalkloze nesvaaggronden; zavel en lichte klei~Ro~nesvaaggronden~Vaaggronden
Ro40C~Kalkloze nesvaaggronden; zware klei~Ro~nesvaaggronden~Vaaggronden
Rn52A~Kalkhoudende poldervaaggronden; zavel, profielverloop 2~Rn~poldervaaggronden~Vaaggronden
Rn82A~Kalkhoudende poldervaaggronden; klei, profielverloop 2~Rn~poldervaaggronden~Vaaggronden
Rn66A~Kalkhoudende poldervaaggronden; zavel en lichte klei, profielverloop 3, of 3 en 4, of 4~Rn~poldervaaggronden~Vaaggronden
Rn46A~Kalkhoudende poldervaaggronden; zware klei, profielverloop 3, of 3 en 4 , of 4~Rn~poldervaaggronden~Vaaggronden
Rn15A~Kalkhoudende poldervaaggronden; lichte zavel, profielverloop 5~Rn~poldervaaggronden~Vaaggronden
Rn95A~Kalkhoudende poldervaaggronden; zware zavel en lichte klei, profielverloop 5~Rn~poldervaaggronden~Vaaggronden
Rn45A~Kalkhoudende poldervaaggronden; zware klei, profielverloop 5~Rn~poldervaaggronden~Vaaggronden
Rn62C~Kalkloze poldervaaggronden; zavel en lichte klei, profielverloop 2~Rn~poldervaaggronden~Vaaggronden
Rn42C~Kalkloze poldervaaggronden; zware klei, profielverloop 2~Rn~poldervaaggronden~Vaaggronden
Rn14C~Kalkloze poldervaaggronden; lichte zavel, profielverloop 4~Rn~poldervaaggronden~Vaaggronden
Rn67C~Kalkloze poldervaaggronden; zavel en lichte klei, profielverloop 3, of 3 en 4~Rn~poldervaaggronden~Vaaggronden
Rn94C~Kalkloze poldervaaggronden; zware zavel en lichte klei, profielverloop 4~Rn~poldervaaggronden~Vaaggronden
Rn47C~Kalkloze poldervaaggronden; zware klei, profielverloop 3, of 3 en 4~Rn~poldervaaggronden~Vaaggronden
Rn44C~Kalkloze poldervaaggronden; zware klei, profielverloop 4~Rn~poldervaaggronden~Vaaggronden
bRn46C~Kalkloze poldervaaggronden (bruine komgrond); zware klei, profielverloop 3, of 3 en 4, of 4~bRn~poldervaaggronden~Vaaggronden
Rn15C~Kalkloze poldervaaggronden; lichte zavel, profielverloop 5~Rn~poldervaaggronden~Vaaggronden
Rn95C~Kalkloze poldervaaggronden; zware zavel en lichte klei, profielverloop 5~Rn~poldervaaggronden~Vaaggronden
Rn45C~Kalkloze poldervaaggronden; zware klei, profielverloop 5~Rn~poldervaaggronden~Vaaggronden
